Id,Label,X,Y
0,0,0.05456,0.765728
1,1,0.471726,0.067791
2,2,0,0.244463
3,3,0.027377,0.268598
4,4,0.143491,0.974228
5,5,0.343672,0.05185
6,6,0.687933,0.205413
7,7,0.114443,0.921967
8,8,0.354025,0.087315
9,9,0.750986,0
10,10,0.167018,1
11,11,0.470242,0.031006
12,12,0.869137,0.249953
13,13,0.046178,0.436652
14,14,1,0.463921
15,15,0.698473,0.167569
16,16,0.041902,0.553881
17,17,0.076825,0.308564
18,18,0.026521,0.777309
19,19,0.738225,0.038339
20,20,0.801187,0.181582
21,21,0.227247,0.110972
22,22,0.99041,0.428376
23,23,0.045073,0.660728
24,24,0.08474,0.852347
25,25,0.922251,0.314882
26,26,0.246328,0.140764
27,27,0.962874,0.375467
28,28,0.58846,0.082279
29,29,0.159182,0.220846
30,30,0.710426,0.109168
31,31,0.016126,0.441839
